Institute,Course,Quota,Candidate Category,Min_Rank,Max_Rank,Count,Percentile_40,Most_Probable_Round
"AB Shetty Memorial Inst. of Dental Sce., Mangaluru, Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",BDS,Deemed/Paid Seats Quota,EWS,292275,756692,2,501174.4,R1
"AB Shetty Memorial Inst. of Dental Sce., Mangaluru, Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",BDS,Deemed/Paid Seats Quota,General,116645,846485,81,501174.4,R1
"AB Shetty Memorial Inst. of Dental Sce., Mangaluru, Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",BDS,Deemed/Paid Seats Quota,OBC,106898,838750,23,501174.4,R1
"AB Shetty Memorial Inst. of Dental Sce., Mangaluru, Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",BDS,Deemed/Paid Seats Quota,SC,408605,698248,5,501174.4,R1
"AB Shetty Memorial Inst. of Dental Sce., Mangaluru, Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",BDS,Deemed/Paid Seats Quota,ST,319476,826708,4,501174.4,R1
"AB Shetty Memorial Inst. of Dental Sce., Mangaluru, Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",BDS,Non-Resident Indian,General,870891,1089085,4,501174.4,R2
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Deemed/Paid Seats Quota,EWS,442602,808548,4,615405.8,R1
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Deemed/Paid Seats Quota,General,191881,1017390,103,615405.8,R1
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Deemed/Paid Seats Quota,OBC,117016,1011436,140,615405.8,R1
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Deemed/Paid Seats Quota,SC,229670,1016162,25,615405.8,R1
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Deemed/Paid Seats Quota,ST,523621,957508,4,615405.8,R1
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Non-Resident Indian,General,578936,1107221,12,615405.8,R3
"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",MBBS,Non-Resident Indian,OBC,640780,1363376,24,615405.8,R3
